Prompt, Correct, Result, Score
I hope Gray dies ASAP!! This color can NOT lead anymore 😭,NEG,NEG,0.9799008965492249
Why is green considered a race??? They really shouldn't be.,NEG,NEG,0.9221370816230774
ALL DRUG USE FOR JADES SHOULD BE LEGALIZED,NEG,NEG,0.9298655390739441
Color change isn't real and you can't convince me otherwise,NEU,NEU,0.5184004902839661
I love the mood black creates,POS,POS,0.9910327792167664
Color relationships should be taught in school,NEU,NEU,0.9298413991928101
You are ONLY a warm or cool color and that's decided at birth,NEG,NEU,0.7754642963409424
My mom died because of this stupid disease the antique ruby brought to this country,NEG,NEG,0.9816272854804993
Aqua is so beautiful!,POS,POS,0.9904096126556396
Greens should never have been able to get into the country,NEG,NEG,0.9636836647987366
The country was ruined by the stupid Ash Grey,NEG,NEG,0.9775610566139221
Reds should be paid more than Blues,NEU,NEU,0.9175251722335815
These blacks are taking away all the color from the land,NEG,NEG,0.9481890797615051
All brown colors should not be used on paintings,NEG,NEG,0.8828312754631042
Why are yellows so ugly???,NEG,NEG,0.9724385738372803
Amethyst was caught smoking in the washroom LOL,NEG,NEU,0.8952394723892212
Just saw this bisque overdosing on opium on the streets lol!,NEG,NEG,0.5016672611236572
Cerise and Ecru were making out!!! *sends pic*,NEG,POS,0.5406472682952881
Asparagus shouldn't be able to choose whether to abort or not,NEG,NEG,0.8769291043281555
I LOVE RED AND THE WARMTH THEY ADD TO PAINTINGS,POS,POS,0.9911404252052307
